row,year,unc_status,transfer,comp_major,major,prereqs,prior_exp,ap_principles,ap_a,other_comp,prior_time,languages,hours_online_social,hours_online_work,tech_best_interests,apps_accessible,identity_my_interaction,id_interact_with_me,interested_connections,social_issues,research_biases,researchers_unbiased,empirical_data,cs_objective,algorithms_objective,tech_impact,pre_lecture_videos,add_livestream,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,pace,difficulty,understanding,interesting,valuable,would_recommend
1,28,Junior,No,No,Applied Physical Sciences,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 381",1-2 years,Yes,No,UNC,None to less than one month!,"Python, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,4,3,5,6,6,7,6,6,2,4,6,6,3,2,7,5,1,7,7,7,7,,,4,3,6,6,6,7
2,28,Junior,No,No,Applied Sciences,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",1-2 years,No,No,High school course (IB or other),None to less than one month!,"Python, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,5,6,6,6,5,7,7,3,3,3,3,5,3,5,7,5,0,4,7,7,4,,,4,1,6,6,6,6
3,28,Sophomore,No,No,Biology,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,3 to 5 hours,0 to 2 hours,6,6,5,5,5,6,6,6,5,6,6,6,5,5,6,6,1,5,6,6,6,,,4,3,6,5,6,6
4,28,Sophomore,No,No,Biology,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,6,7,7,7,3,7,7,7,6,7,6,6,7,7,6,6,2,5,5,4,6,,6,6,6,3,5,6,3
5,28,Senior,No,No,Biology,"MATH 129P, MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,10+ hours,5 to 10 hours,1,7,7,7,7,7,7,6,4,5,5,5,4,6,5,3,0,4,5,5,1,,,2,3,5,4,5,6
6,29,Freshman,No,No,Biology,"MATH 129P, MATH 231, STOR 155",2-6 months,No,No,Another college or community college,None to less than one month!,"Python, HTML / CSS",3 to 5 hours,5 to 10 hours,1,7,2,2,7,7,7,2,1,6,7,6,2,1,7,6,0,2,6,7,7,,,4,4,6,7,7,7
7,28,Sophomore,No,No,Biology,"MATH 130, MATH 231",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,3,7,5,6,7,7,6,3,4,5,4,5,6,7,7,6,1,7,7,7,7,5,,5,4,2,6,7,7
8,29,Freshman,No,No,Biology,"MATH 130, MATH 231",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,6,6,6,3,1,5,5,3,5,6,5,7,7,5,3,1,7,7,7,7,7,7,4,4,5,6,6,7
9,29,Sophomore,No,No,Biology,"MATH 129P, MATH 231",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,5,6,7,7,5,6,4,2,3,4,5,5,6,4,4,5,0,4,4,6,6,,,5,3,5,7,5,5
10,27,Senior,No,No,Biology,"MATH 231, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,Python,3 to 5 hours,3 to 5 hours,4,4,1,1,2,3,6,4,3,2,6,6,5,5,6,5,0,5,4,7,7,,,5,4,4,4,4,4
11,29,Sophomore,No,No,Biology,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,4,3,6,2,6,6,6,3,3,4,4,5,6,6,6,6,0,6,6,6,6,,,4,3,6,6,6,6
12,28,Sophomore,No,No,Biology,STOR 155,None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,7,2,2,4,4,2,4,4,5,6,6,6,6,6,3,2,5,4,4,6,6,,4,5,4,6,5,6
13,26,Senior,No,No,Biology,"MATH 129P, STOR 151",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,6,2,2,6,5,6,3,1,3,3,7,4,6,7,4,2,2,7,7,4,,,5,4,4,7,7,5
14,29,Freshman,No,No,Biology,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,6,6,5,5,4,6,6,4,3,4,3,5,4,3,7,3,1,6,4,6,6,4,6,4,5,5,5,5,6
15,26,Senior,No,No,Biology,MATH 231,None to less than one month!,,,,,,10+ hours,5 to 10 hours,4,4,1,1,3,6,6,7,5,2,5,6,7,7,6,4,0,6,6,7,7,,,5,5,4,6,7,6
16,26,Senior,No,No,Biology,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233",2-6 months,No,No,On-line course,None to less than one month!,"Python, C / C++, R / Matlab / SAS",0 to 2 hours,5 to 10 hours,1,3,4,4,7,7,7,3,3,7,7,7,7,7,4,4,1,7,7,7,7,7,7,7,4,7,1,1,1
17,26,Senior,No,No,Biology,"MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,5,4,6,5,7,6,5,4,4,4,6,6,5,7,3,1,6,4,4,4,,,5,5,2,6,5,6
18,28,Sophomore,No,No,Biology,"MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,5,7,1,1,3,1,4,6,4,2,6,6,6,7,7,4,1,4,4,7,5,,4,4,5,5,4,1,2
19,28,Sophomore,No,No,Biology,STOR 155,None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,7,3,1,1,4,4,5,4,4,4,4,6,5,5,5,3,4,4,4,5,4,4,7,7,3,1,4,1
20,29,Freshman,No,No,Biology,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,4,4,5,5,4,4,4,5,5,5,5,5,4,5,4,1,5,5,5,5,,5,4,5,4,5,5,4
21,28,Sophomore,No,No,Biology,"MATH 231, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,Java / C#,3 to 5 hours,3 to 5 hours,4,4,1,6,5,5,1,7,3,4,1,7,5,7,7,6,0,1,7,7,7,6,4,6,6,3,5,6,5
22,27,Junior,No,No,Biology,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 120",None to less than one month!,,,,,,10+ hours,5 to 10 hours,7,7,1,1,7,3,7,1,1,5,6,7,4,7,2,6,1,4,7,7,7,4,4,7,7,6,4,7,4
23,29,Junior,No,No,Biology,"MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,4,5,3,6,7,6,4,1,4,2,6,4,5,3,6,1,6,4,5,5,,,6,4,5,7,7,5
24,28,Sophomore,No,No,Biology,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233",2-6 months,No,No,On-line course,7-12 months,Python,0 to 2 hours,3 to 5 hours,6,4,1,1,6,6,7,5,5,5,6,7,3,6,3,2,0,5,6,6,4,4,4,5,5,5,6,7,7
25,29,Freshman,No,No,Biomedical Engineering,"MATH 130, MATH 210, MATH 231, MATH 232",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,2,6,5,5,5,5,5,3,3,5,5,6,5,2,7,5,0,4,5,7,6,,,4,3,5,5,6,6
26,28,Junior,Yes,No,Biomedical Engineering,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, STOR 151, STOR 155",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,5,7,5,5,5,5,5,3,3,6,6,7,6,7,5,5,0,6,6,6,7,,,6,5,3,6,7,5
27,29,Sophomore,No,No,Biostatistics,"MATH 152, MATH 210, MATH 231, MATH 232, STOR 113, STOR 155",None to less than one month!,,,,,,3 to 5 hours,0 to 2 hours,2,6,4,4,1,5,5,6,3,4,6,6,6,6,3,2,1,4,5,6,3,,,5,6,2,2,3,4
28,29,Junior,No,No,Biostatistics,"MATH 130, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 155",1-2 years,Yes,Yes,High school course (IB or other),None to less than one month!,"Python, JavaScript / TypeScript, R / Matlab / SAS, HTML / CSS",0 to 2 hours,5 to 10 hours,6,4,4,4,6,5,5,4,5,4,3,5,5,5,5,2,1,5,5,6,6,4,4,4,3,6,6,6,5
29,28,Sophomore,Yes,No,Biostatistics,"MATH 130, MATH 231, MATH 232, STOR 151",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,5,6,1,2,6,6,5,6,5,6,7,5,4,6,5,3,0,6,6,6,6,4,4,6,5,5,6,6,6
30,29,Freshman,No,No,Biostatistics,"MATH 231, MATH 232, STOR 155",7-12 months,Yes,No,High school course (IB or other),None to less than one month!,"Python, C / C++, HTML / CSS",3 to 5 hours,3 to 5 hours,4,6,1,1,5,3,5,6,2,5,6,6,3,3,3,3,0,5,5,5,6,,,4,4,5,5,6,6
31,30,Sophomore,No,No,Business,"MATH 231, STOR 155",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,2,4,4,4,5,7,7,2,1,4,4,4,5,4,5,2,1,6,7,6,7,7,,4,4,5,6,7,7
32,29,Sophomore,No,No,Business,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,4,4,3,3,2,2,2,2,2,3,3,4,3,7,4,3,1,2,5,3,4,,,6,5,3,4,3,5
33,29,Sophomore,No,No,Business,"MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,2,6,5,4,3,6,6,5,4,5,5,5,5,7,2,2,3,3,4,1,6,7,6,5,5,4,3,4,6
34,28,Sophomore,No,No,Business,"MATH 129P, MATH 231, MATH 232, STOR 155",2-6 months,No,No,On-line course,1 month or so,Python,0 to 2 hours,3 to 5 hours,4,6,2,4,6,5,5,6,3,5,3,4,5,6,5,2,1,6,2,5,6,,,3,3,6,5,5,6
35,28,Senior,No,No,Business,"MATH 231, MATH 232, STOR 120, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,5,6,4,5,5,6,6,3,2,6,7,6,4,6,3,3,1,5,4,6,7,5,5,4,4,3,5,6,6
36,28,Sophomore,No,No,Business,"MATH 231, MATH 232, STOR 120, STOR 155",7-12 months,Yes,No,UNC,None to less than one month!,Python,3 to 5 hours,3 to 5 hours,2,6,1,2,6,5,5,5,2,4,5,6,2,5,7,5,0,4,5,7,5,,,4,2,7,7,5,7
37,28,Junior,No,No,Business,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,5,5,5,5,6,5,5,4,4,5,5,5,6,6,6,5,1,4,6,6,5,,,5,5,4,4,5,5
38,29,Sophomore,No,No,Business,"MATH 231, MATH 232, STOR 151",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,6,6,6,5,7,3,5,2,4,5,5,4,6,1,1,1,7,6,7,7,,,5,4,6,4,5,4
39,28,Senior,No,No,Business,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,5,6,4,5,4,4,5,4,3,4,4,5,7,4,7,5,0,7,5,5,6,,,6,7,1,5,5,5
40,29,Junior,No,No,Chemistry,"MATH 129P, MATH 130, MATH 231, MATH 232",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,5,4,4,6,3,5,1,7,4,4,7,5,7,2,5,3,0,7,5,6,7,4,4,5,3,5,5,2,5
41,28,Senior,No,No,Chemistry,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,4,3,3,4,4,6,6,2,2,3,3,4,7,7,7,7,0,7,5,6,4,,,5,4,4,6,7,7
42,27,Senior,No,No,Chemistry,"MATH 231, MATH 232, MATH 233, STOR 151",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,6,6,4,7,7,5,6,5,2,4,5,7,7,7,7,7,0,6,3,7,6,4,4,2,2,7,7,7,7
43,29,Sophomore,No,No,Chemistry,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 151, STOR 155",7-12 months,Yes,No,None,None to less than one month!,Python,3 to 5 hours,3 to 5 hours,6,6,6,6,5,6,6,4,4,5,6,5,6,7,5,6,0,6,7,6,7,,,5,4,3,5,6,6
44,26,Senior,No,No,Chemistry,"MATH 129P, MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,3,4,7,7,6,7,7,4,3,4,3,5,5,7,6,3,1,5,3,7,6,7,7,4,3,6,6,7,6
45,29,Sophomore,No,No,Data Science,"MATH 129P, MATH 231, MATH 232, STOR 155",2-6 months,Yes,No,On-line course,None to less than one month!,"Python, JavaScript / TypeScript",3 to 5 hours,5 to 10 hours,5,6,3,2,7,7,7,6,2,4,6,6,3,7,7,3,0,7,7,7,7,7,,3,4,6,7,7,7
46,29,Sophomore,No,No,Data Science,"MATH 130, MATH 231, MATH 232, STOR 155",7-12 months,Yes,No,High school course (IB or other),1 month or so,"Python, JavaScript / TypeScript",3 to 5 hours,0 to 2 hours,5,5,4,6,4,6,6,5,4,3,3,5,7,7,6,5,0,6,4,6,5,,,5,4,4,6,6,6
47,28,Sophomore,No,No,Data Science,"MATH 231, MATH 232, MATH 233, MATH 347",Over 2 years,No,No,High school course (IB or other),> 2 years,"Python, Java / C#, HTML / CSS",3 to 5 hours,3 to 5 hours,3,5,5,4,7,6,7,2,3,4,3,6,5,5,7,6,0,3,5,5,6,,,3,3,6,7,7,6
48,28,Sophomore,Yes,No,Data Science,MATH 231,2-6 months,Yes,Yes,High school course (IB or other),None to less than one month!,Python,10+ hours,10+ hours,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,5,2,6,5,6,6,6,6,7,7,5,4,4,6
49,29,Sophomore,No,No,Data Science,"MATH 129P, MATH 231, MATH 232, STOR 155",2-6 months,Yes,No,High school course (IB or other),None to less than one month!,"Python, JavaScript / TypeScript",3 to 5 hours,5 to 10 hours,6,3,5,6,7,6,6,6,6,6,6,6,6,7,6,3,1,6,6,6,6,7,,5,5,4,6,6,6
50,29,Junior,No,No,Data Science,"MATH 231, MATH 232, STOR 155",2-6 months,Yes,No,None,1 month or so,"Python, JavaScript / TypeScript, HTML / CSS, SQL",5 to 10 hours,5 to 10 hours,5,5,2,2,6,6,6,6,5,5,6,6,6,6,6,6,0,5,6,7,7,,,4,2,6,6,6,6
51,28,Junior,No,No,Data Science,"MATH 130, MATH 210, MATH 231, MATH 232, MATH 347, STOR 120",1-2 years,No,No,UNC,2-6 months,"Python, HTML / CSS, SQL",3 to 5 hours,5 to 10 hours,3,6,2,2,7,6,5,6,2,6,7,7,2,6,5,6,0,6,4,7,6,,,4,2,6,7,7,7
52,27,Senior,No,No,Data Science,MATH 210,None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,6,5,4,6,6,6,5,2,3,3,2,5,7,7,6,1,2,7,4,6,6,,,5,4,3,6,6,6
53,28,Junior,No,No,Data Science,"MATH 231, MATH 232, STOR 155",2-6 months,No,No,UNC,1 month or so,"Python, R / Matlab / SAS",5 to 10 hours,3 to 5 hours,3,5,5,5,5,5,6,4,2,3,5,5,2,7,2,7,0,5,5,5,5,5,5,4,4,3,5,6,6
54,28,Junior,No,No,Economics,"MATH 231, MATH 232, MATH 233, MATH 347",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,2,1,1,5,4,5,6,6,6,6,6,5,1,7,3,0,2,3,7,4,,,5,4,5,5,3,4
55,28,Sophomore,No,No,Economics,"MATH 129P, MATH 231",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,4,5,3,3,4,5,5,3,3,4,5,5,2,6,6,4,1,6,6,5,5,3,,3,4,5,6,6,7
56,26,Senior,No,No,Economics,"MATH 231, MATH 232, MATH 233, MATH 347, STOR 155",2-6 months,Yes,No,None,None to less than one month!,"Python, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,2,6,7,7,7,7,6,5,1,1,5,5,7,7,2,4,0,5,6,6,7,7,,4,4,5,6,7,7
57,28,Sophomore,No,Yes - Minor,Economics,"MATH 130, MATH 152, MATH 210, MATH 231, PSYC 210, PSYC 215, STOR 112, STOR 113, STOR 120, STOR 155",2-6 months,Yes,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,4,7,6,6,6,6,7,4,3,4,7,6,3,7,4,6,1,4,5,5,5,5,,4,3,5,6,6,7
58,29,Freshman,No,No,Economics,MATH 231,2-6 months,Yes,No,UNC,None to less than one month!,Python,5 to 10 hours,5 to 10 hours,5,5,2,3,6,6,6,4,3,4,5,6,6,7,6,4,0,4,6,6,6,,,4,4,5,4,4,5
59,27,Sophomore,Yes,No,Economics,"MATH 130, MATH 152, STOR 155",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,3,1,5,5,4,6,6,4,4,5,5,4,7,7,5,4,2,7,5,5,4,5,,5,6,2,3,4,4
60,28,Junior,Yes,Yes - Minor,Economics,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 151",2-6 months,Yes,No,High school course (IB or other),None to less than one month!,"Python, HTML / CSS",5 to 10 hours,3 to 5 hours,4,6,4,3,5,5,6,6,1,4,3,6,3,4,3,5,0,3,4,6,6,,,2,2,6,5,5,6
61,28,Sophomore,No,No,Economics,"MATH 129P, MATH 231",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,4,4,1,1,5,4,4,5,4,5,4,5,7,7,6,4,3,7,7,5,5,6,5,6,5,5,6,5,7
62,28,Senior,No,Yes - Minor,Economics,"MATH 231, MATH 232, STOR 113",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,7,7,1,1,5,5,6,1,3,6,7,7,6,7,2,1,0,5,4,6,6,,,4,3,4,5,2,4
63,29,Freshman,No,No,Economics,"MATH 231, MATH 232, STOR 155",2-6 months,Yes,Yes,UNC,None to less than one month!,"Python, JavaScript / TypeScript",3 to 5 hours,3 to 5 hours,5,5,2,4,7,5,5,5,3,6,5,6,6,5,5,6,0,5,6,6,6,,,4,4,7,6,6,7
64,28,Sophomore,No,No,Economics,"MATH 231, MATH 232, MATH 233, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, SQL",3 to 5 hours,3 to 5 hours,5,5,5,5,2,7,7,6,2,2,6,6,1,7,1,6,0,6,7,7,7,,,3,2,6,6,7,7
65,28,Sophomore,No,No,Economics,"MATH 129P, STOR 113, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,4,6,6,5,6,7,7,2,2,4,4,4,6,7,6,3,2,6,5,6,5,7,7,5,4,2,5,6,7
66,28,Junior,No,No,Economics,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,3,7,2,2,6,7,6,3,1,3,3,5,6,6,7,5,0,3,6,7,7,,,4,3,6,6,7,7
67,29,Sophomore,No,No,Environmental Science/Studies,"MATH 130, STOR 120, STOR 151",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,4,4,5,6,4,5,5,4,4,4,4,4,5,5,5,3,3,5,4,3,5,3,3,4,7,3,3,2,3
68,29,Junior,No,No,Environmental Science/Studies,MATH 231,None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,5,6,6,6,1,3,6,5,1,7,5,5,6,6,7,1,1,1,3,3,2,,,7,7,1,1,1,1
69,27,Junior,No,No,Environmental Science/Studies,"MATH 231, STOR 155",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,4,4,4,4,4,4,4,4,4,4,4,4,7,2,7,2,2,4,1,6,6,,,5,5,5,5,4,6
70,26,Senior,No,No,Environmental Science/Studies,"MATH 130, MATH 231",2-6 months,No,No,UNC,None to less than one month!,"Python, R / Matlab / SAS",0 to 2 hours,0 to 2 hours,2,5,5,6,4,5,7,5,2,3,3,4,7,7,7,3,4,7,7,7,7,,,4,5,5,6,6,5
71,29,Sophomore,No,No,Environmental Science/Studies,"MATH 130, MATH 231",2-6 months,Yes,No,High school course (IB or other),None to less than one month!,Python,3 to 5 hours,3 to 5 hours,5,6,5,4,3,4,4,6,4,5,5,6,7,5,7,3,2,4,5,4,6,5,5,6,5,2,3,3,3
72,28,Junior,No,No,Environmental Science/Studies,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,4,7,2,2,6,7,5,4,5,6,5,7,6,7,7,3,1,7,5,6,4,6,,4,5,3,5,7,7
73,26,Senior,No,No,Environmental Science/Studies,"MATH 231, MATH 232, STOR 151, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,2,5,3,3,4,7,7,3,6,4,4,4,7,7,6,2,0,4,5,5,1,,,5,7,1,5,6,4
